project,sprint.name,startDate,endDate,velocity,work_capacity,focus_factor,sprint_length,baseline,velocity_increase,P,H,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity
nexus,Sprint 42,2015-04-28 19:23:38.705000+00:00,2015-05-12 19:23:00+00:00,32.5,64.0,0.5078125,13,19.666666666666668,165.25423728813558,2,0,['jtom' 'jdillon' 'alin' nan 'mprescott'],['jtom' 'mprescott' 'dsauble' nan 'alin' 'krobinson' 'jdillon' 'rseddon'],8.0,0.0,3.0,5,0.11538461538461539,0.0,35,1.75,0.5714285714285714,6.5
nexus,Sprint 43,2015-05-12 19:44:46.599000+00:00,2015-05-26 19:44:00+00:00,28.5,66.5,0.42857142857142855,13,19.666666666666668,144.91525423728814,2,0,['jtom' 'dsauble' 'krobinson' 'alin' nan 'jdillon'],['jtom' 'jdillon' 'alin' nan 'mprescott'],5.0,2.0,1.0,6,0.045454545454545456,0.09090909090909091,36,1.75,0.5714285714285714,4.75
nexus,Sprint 44,2015-05-26 19:27:03.949000+00:00,2015-06-09 19:27:00+00:00,8.5,21.5,0.3953488372093023,13,19.666666666666668,43.220338983050844,1,0,['jtom' 'bradbeck' 'plynch' 'alin' 'krobinson'],['jtom' 'dsauble' 'krobinson' 'alin' nan 'jdillon'],6.0,2.0,3.0,5,0.13636363636363635,0.09090909090909091,37,2.25,0.4444444444444444,1.7
nexus,Sprint 45,2015-06-09 19:29:38.867000+00:00,2015-06-23 19:29:00+00:00,21.5,62.5,0.344,13,19.666666666666668,109.32203389830508,2,0,['jtom' nan 'krobinson'],['jtom' 'bradbeck' 'plynch' 'alin' 'krobinson'],5.0,1.0,3.0,3,0.1875,0.0625,38,2.0,0.5,7.166666666666667
nexus,Sprint 46,2015-06-23 18:47:38.937000+00:00,2015-07-07 18:47:00+00:00,13.0,29.5,0.4406779661016949,13,19.666666666666668,66.10169491525424,1,0,['jtom' 'mprescott' 'alin' nan],['jtom' nan 'krobinson'],3.0,2.0,1.0,4,0.07142857142857142,0.14285714285714285,39,1.75,0.5714285714285714,3.25
nexus,Sprint 47,2015-07-07 19:29:55.516000+00:00,2015-07-21 19:29:00+00:00,3.5,36.5,0.0958904109589041,13,19.666666666666668,17.796610169491526,1,0,"['jtom' 'cstamas' 'msurani' 'mprescott' 'rseddon' 'plynch' nan 'bradbeck'
 'alin']",['jtom' 'mprescott' 'alin' nan],4.0,5.0,0.0,9,0.0,0.19230769230769232,40,2.25,0.4444444444444444,0.3888888888888889
nexus,Sprint 48,2015-07-21 19:59:56.200000+00:00,2015-08-04 19:59:00+00:00,11.0,317.0,0.03470031545741325,13,19.666666666666668,55.932203389830505,1,0,['jtom' 'mprescott' nan],"['jtom' 'cstamas' 'msurani' 'mprescott' 'rseddon' 'plynch' nan 'bradbeck'
 'alin']",9.0,0.0,6.0,3,0.25,0.0,41,2.5,0.4,3.6666666666666665
nexus,Sprint 49,2015-08-04 18:41:38.916000+00:00,2015-08-18 18:41:00+00:00,2.5,13.5,0.18518518518518517,13,19.666666666666668,12.711864406779661,1,0,['jtom' 'mprescott'],['jtom' 'mprescott' nan],3.0,0.0,1.0,2,0.1,0.0,42,1.25,0.8,1.25
nexus,Sprint 50,2015-08-18 20:17:28.855000+00:00,2015-09-01 20:17:00+00:00,16.0,64.5,0.24806201550387597,13,19.666666666666668,81.35593220338983,1,0,['jtom' 'dsauble'],[nan 'cstamas' 'alin' 'jdillon'],4.0,2.0,4.0,2,0.3333333333333333,0.16666666666666666,43,2.5,0.4,8.0
nexus,Sprint 51,2015-09-08 19:09:24.582000+00:00,2015-09-15 19:09:00+00:00,10.5,38.0,0.27631578947368424,6,19.666666666666668,53.38983050847458,1,0,['jtom' 'dsauble'],['jtom' 'dsauble'],2.0,0.0,0.0,2,0.0,0.0,44,1.0,1.0,5.25
nexus,Sprint 52,2015-09-15 19:05:23.412000+00:00,2015-09-29 19:05:00+00:00,12.5,24.5,0.5102040816326531,13,19.666666666666668,63.559322033898304,1,0,['jtom' 'dsauble' nan],['jtom' 'dsauble'],2.0,1.0,0.0,3,0.0,0.1,45,1.25,0.8,4.166666666666667
nexus,Sprint 53,2015-09-29 20:04:32.368000+00:00,2015-10-13 20:04:00+00:00,6.0,15.0,0.4,13,19.666666666666668,30.508474576271183,1,0,['dsauble' 'jtom' nan],['jtom' 'dsauble' nan],3.0,0.0,0.0,3,0.0,0.0,46,1.0,1.0,2.0
nexus,Sprint 54,2015-10-13 19:53:01.323000+00:00,2015-10-27 19:53:00+00:00,4.0,7.0,0.5714285714285714,13,19.666666666666668,20.338983050847457,1,0,['plynch' 'jtom' 'dsauble' 'fmilens'],['dsauble' 'jtom' nan],3.0,2.0,1.0,4,0.07142857142857142,0.14285714285714285,47,1.75,0.5714285714285714,1.0
