project,sprint.name,startDate,endDate,velocity,work_capacity,focus_factor,sprint_length,baseline,velocity_increase,P,H,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity,sigma_velocity,sigma_focusfactor,zone_velocity,zone_focusfactor
mesos,Mesosphere Q1 Sprint 3 - 2/20,2015-02-06 16:47:50.469000+00:00,2015-02-20 16:47:00+00:00,100.0,7156.0,0.013974287311347122,13,59.0,169.4915254237288,2,0,"['mcypark' 'tillt' 'karya' 'tnachen' nan 'adam-mesos' 'jvanremoortere'
 'bernd-mesos']",['karya' nan 'mcypark' 'adam-mesos' 'jvanremoortere' 'bernd-mesos'],6.0,2.0,0.0,8,0.0,0.07142857142857142,21,1.4,0.7142857142857143,12.5,0.6885504084994816,-0.5908285065201041,N,N
mesos,Twitter Mesos Q1 Sprint 3,2015-02-17 18:00:00+00:00,2015-03-02 19:00:00+00:00,619.0,1158.0,0.5345423143350605,13,59.0,1049.1525423728813,4,0,['vinodkone' 'chzhcn' 'bmahler' nan 'jieyu' 'dhamon' 'idownes' 'pbrett'],['pbrett' 'xujyan' 'jieyu' 'dhamon' 'vinodkone' 'bmahler' 'chzhcn'],7.0,2.0,1.0,8,0.03333333333333333,0.06666666666666668,22,1.6,0.625,77.375,2.599335121975494,1.4084543259775124,N,N
mesos,Twitter Mesos Q1 Sprint 4,2015-03-02 19:31:49.041000+00:00,2015-03-16 19:31:00+00:00,86.0,233.0,0.369098712446352,13,59.0,145.76271186440678,2,0,"['vinodkone' 'idownes' 'jieyu' 'bmahler' 'wangcong' 'pbrett' 'chzhcn'
 'dhamon']",['vinodkone' 'chzhcn' 'bmahler' nan 'jieyu' 'dhamon' 'idownes' 'pbrett'],8.0,1.0,1.0,8,0.03125,0.03125,23,1.4,0.7142857142857143,10.75,0.5304591663865356,0.7730550393678535,N,N
mesos,Mesosphere Q1 Sprint 5 - 3/20,2015-03-09 23:12:33.987000+00:00,2015-03-20 23:12:00+00:00,4.0,580.0,0.006896551724137931,10,59.0,6.779661016949151,1,0,"['mcypark' 'greggomann' 'marco-mesos' 'karya' 'tnachen' nan 'adam-mesos'
 'jvanremoortere' 'bernd-mesos']","['mcypark' 'marco-mesos' 'tillt' 'karya' 'tnachen' nan 'adam-mesos'
 'jvanremoortere' 'bernd-mesos']",9.0,1.0,1.0,9,0.027777777777777776,0.027777777777777776,24,1.4,0.7142857142857143,0.4444444444444444,-2.8089064078748742,-0.6180111119009378,N,N
mesos,Twitter Mesos Q1 Sprint 5,2015-03-16 18:00:39.328000+00:00,2015-03-30 18:00:00+00:00,90.0,330.0,0.2727272727272727,13,59.0,152.5423728813559,2,0,"['jieyu' 'idownes' 'wangcong' 'bmahler' 'vinodkone' 'mcypark' 'pbrett'
 'chzhcn']","['vinodkone' 'idownes' 'jieyu' 'bmahler' 'wangcong' 'pbrett' 'chzhcn'
 'dhamon']",8.0,1.0,1.0,8,0.03125,0.03125,25,1.4,0.7142857142857143,11.25,0.5781124317486166,0.40293287478732054,N,N
mesos,Twitter Mesos Q1 Sprint 6,2015-03-30 18:19:20.617000+00:00,2015-04-06 18:00:00+00:00,40.0,76.0,0.5263157894736842,6,59.0,67.79661016949152,1,0,['pbrett' 'jieyu' 'bmahler' 'chzhcn' 'idownes' 'vinodkone'],"['jieyu' 'idownes' 'wangcong' 'bmahler' 'vinodkone' 'mcypark' 'pbrett'
 'chzhcn']",8.0,0.0,2.0,6,0.07142857142857142,0.0,26,1.4,0.7142857142857143,6.666666666666668,0.02964827536889295,1.376859704193883,N,N
mesos,Mesosphere Q1 Sprint 7 - 4/17,2015-04-03 16:57:35.550000+00:00,2015-04-17 16:57:00+00:00,34.0,393.0,0.08651399491094147,13,59.0,57.62711864406779,1,0,"['jvanremoortere' 'adam-mesos' 'mcypark' 'greggomann' 'marco-mesos'
 'karya' nan 'bernd-mesos']","['mcypark' 'greggomann' 'marco-mesos' 'karya' nan 'adam-mesos'
 'jvanremoortere' 'bernd-mesos']",8.0,0.0,0.0,8,0.0,0.0,27,1.0,1.0,4.25,-0.44224850186397346,-0.31223400099996496,N,N
mesos,Twitter Q2 Sprint 1 - 4/13,2015-04-13 18:00:41.648000+00:00,2015-04-27 18:00:00+00:00,19.0,273.0,0.0695970695970696,13,59.0,32.20338983050847,1,0,['chzhcn' 'pbrett' 'bmahler' 'jieyu' 'idownes' 'vinodkone'],['chzhcn' 'jieyu' 'bmahler' 'klaus1982'],4.0,3.0,1.0,6,0.05,0.15,28,1.8,0.5555555555555556,3.1666666666666665,-0.7506677600200954,-0.3772047955991648,N,N
mesos,Mesosphere Q2 Sprint 8 - 5/1,2015-04-17 15:46:13.513000+00:00,2015-05-01 15:46:00+00:00,48.0,532.0,0.09022556390977443,13,59.0,81.35593220338984,1,0,"['ijimenez' 'jvanremoortere' 'adam-mesos' 'mcypark' 'greggomann'
 'marco-mesos' 'karya' nan 'bernd-mesos']","['alexr' 'jvanremoortere' 'adam-mesos' 'mcypark' 'ijimenez' 'karya' nan
 'bernd-mesos']",8.0,2.0,1.0,9,0.029411764705882356,0.05882352941176471,29,1.6,0.625,5.333333333333333,-0.20424885562254602,-0.29797942562117574,N,N
mesos,Twitter Q2 Sprint 2,2015-04-27 20:59:03.042000+00:00,2015-05-11 20:59:00+00:00,131.0,411.0,0.31873479318734793,13,59.0,222.03389830508476,2,0,"['vinodkone' 'wangcong' 'jieyu' 'chzhcn' 'pbrett' 'hartem' 'bmahler'
 'idownes']",['chzhcn' 'pbrett' 'bmahler' 'jieyu' 'idownes' 'vinodkone'],6.0,2.0,0.0,8,0.0,0.07142857142857142,30,1.4,0.7142857142857143,16.375,0.9715905067321764,0.5796284093700105,N,N
