project,sprint.name,sprint.startDate,sprint.endDate,key,sprint.length
mesos,Twitter Mesos Q1 Sprint 3,2015-02-17 18:00:00+00:00,2015-03-02 19:00:00+00:00,317,13 days 01:00:00.000000000
mesos,Mesosphere Q1 Sprint 4 - 3/6,2015-02-20 16:28:57.724000+00:00,2015-03-06 16:28:00+00:00,1717,13 days 23:59:02.276000000
mesos,Twitter Mesos Q1 Sprint 4,2015-03-02 19:31:49.041000+00:00,2015-03-16 19:31:00+00:00,286,13 days 23:59:10.959000000
mesos,Mesosphere Q1 Sprint 5 - 3/20,2015-03-09 23:12:33.987000+00:00,2015-03-20 23:12:00+00:00,1825,10 days 23:59:26.013000000
mesos,Twitter Mesos Q1 Sprint 5,2015-03-16 18:00:39.328000+00:00,2015-03-30 18:00:00+00:00,280,13 days 23:59:20.672000000
mesos,Mesosphere Q1 Sprint 6 - 4/3,2015-03-20 15:41:34.507000+00:00,2015-04-03 15:41:00+00:00,1947,13 days 23:59:25.493000000
mesos,Twitter Mesos Q1 Sprint 6,2015-03-30 18:19:20.617000+00:00,2015-04-06 18:00:00+00:00,230,6 days 23:40:39.383000000
mesos,Mesosphere Q1 Sprint 7 - 4/17,2015-04-03 16:57:35.550000+00:00,2015-04-17 16:57:00+00:00,1997,13 days 23:59:24.450000000
mesos,Twitter Q2 Sprint 1 - 4/13,2015-04-13 18:00:41.648000+00:00,2015-04-27 18:00:00+00:00,226,13 days 23:59:18.352000000
mesos,Mesosphere Q2 Sprint 8 - 5/1,2015-04-17 15:46:13.513000+00:00,2015-05-01 15:46:00+00:00,1994,13 days 23:59:46.487000000
mesos,Twitter Q2 Sprint 2,2015-04-27 20:59:03.042000+00:00,2015-05-11 20:59:00+00:00,259,13 days 23:59:56.958000000
mesos,Mesosphere Q1 Sprint 9 - 5/15,2015-05-01 15:00:00+00:00,2015-05-16 00:00:00+00:00,1832,14 days 09:00:00.000000000
mesos,Twitter Q2 Sprint 3 - 5/11,2015-05-11 18:00:12.287000+00:00,2015-05-25 18:00:00+00:00,188,13 days 23:59:47.713000000
mesos,Mesosphere Sprint 10,2015-05-15 16:30:26.106000+00:00,2015-05-26 01:00:00+00:00,1996,10 days 08:29:33.894000000
mesos,Mesosphere Sprint 11,2015-05-26 17:54:14.250000+00:00,2015-06-08 16:00:00+00:00,1995,12 days 22:05:45.750000000
mesos,Twitter Q2 Sprint 3,2015-05-26 18:00:30.607000+00:00,2015-06-08 18:00:00+00:00,280,12 days 23:59:29.393000000
mesos,Mesosphere Sprint 12,2015-06-08 16:00:47.265000+00:00,2015-06-22 16:00:00+00:00,400,13 days 23:59:12.735000000
